EIN,Organization,Mission,Receipts,URL,Guidestar
74-2568941,The Colorado Health Foundation,"The Colorado Health Foundation is singularly focused on helping Coloradans live their healthiest lives by advancing opportunities to pursue good health and achieve health equity through grantmaking, policy and advocacy, strategic private investments and convening to drive change. For more information, please visit www.coloradohealth.org.",354624406,http://coloradohealth.org,https://www.guidestar.org/profile/74-2568941
13-3794889,SIMONS FOUNDATION,The Simons Foundation’s mission is to advance the frontiers of research in mathematics and the basic sciences.,325585835,simonsfoundation.org,https://www.guidestar.org/profile/13-3794889
94-1236937,THE JAMES IRVINE FOUNDATION,Our mission is to expand opportunity for the people of California.,283574249,https://www.irvine.org/,https://www.guidestar.org/profile/94-1236937
11-3659133,The Skoll Foundation,"The Skoll Foundation advances systemic change to benefit communities around the world by investing in, connecting and celebrating social entrepreneurs.",275298925,www.skollfoundation.org,https://www.guidestar.org/profile/11-3659133
04-3073023,New Horizons at Choate Inc,Affordable retirement living,269229951,www.cummingsfoundation.org,https://www.guidestar.org/profile/04-3073023
93-0806316,MEYER MEMORIAL TRUST,"We work with and invest in organizations, communities, ideas and efforts that contribute to a flourishing and equitable Oregon.",262605614,www.mmt.org,https://www.guidestar.org/profile/93-0806316
13-6266964,Mary Flagler Cary Charitable Trust,provides financial support for charitable organizations,257350082,NA,https://www.guidestar.org/profile/13-6266964
95-3169713,Arnold and Mabel Beckman Foundation,"The Arnold and Mabel Beckman Foundation makes grants to program-related, non-profit research institutions to promote research in chemistry and the life sciences, broadly interpreted, and particularly to foster the invention of methods, instruments, and materials that will open up new avenues of research in science.",251352028,www.beckman-foundation.org,https://www.guidestar.org/profile/95-3169713
41-0719221,NORTHWEST AREA FOUNDATION,"The mission of the Northwest Area Foundation is to support efforts by the people, organizations and communities of our eight-state region to reduce poverty and achieve sustainable prosperity.  We fund champions of change who reflect the distinct cultural strengths of the eight states and 75 Native Nations of our region.  They work in diverse communities to help people build assets through good jobs and financial capability so that they can establish good credit, launch small businesses and save for their futures.  Together, these skills equip families to overcome crises today and begin to feel secure and hopeful about tomorrow.  Our region includes Idaho, Iowa, Minnesota, Montana, North Dakota, Oregon, South Dakota, Washington and the 75 Native Nations of our region.",250476798,www.nwaf.org,https://www.guidestar.org/profile/41-0719221
20-0721133,"Bank of America Charitable Foundation, Inc.",The mission of the Bank of America Charitable Foundation is to make a meaningful difference in the communities we serve by identifying local priorities and consistently delivering financial and human resources to address those challenges in order to build Neighborhood Excellence.,246460372,www.bankofamerica.com/foundation,https://www.guidestar.org/profile/20-0721133
20-4952986,Sea Change Foundation,"Founded in 2006 by Nat Simons and Laura Baxter-Simons as a private family foundation, Sea Change Foundation is dedicated to achieving meaningful social impact through strategic philanthropy that addresses the most pressing problems facing the world today. The Foundation is currently working to address the serious threats posed by global climate change, and primarily focuses on climate change mitigation and clean energy policy.",223805951,www.seachange.org,https://www.guidestar.org/profile/20-4952986
20-1980932,SCARLETT FAMILY FOUNDATION,"Vision: Our vision is that every student receives a high-quality education to reach their full potential and become self-sufficient.  Mission: We advocate, invest, and work to ensure that all students in Middle Tennessee have access to a high-quality education.",214714441,www.scarlettfoundation.org,https://www.guidestar.org/profile/20-1980932
36-2999442,Terra Foundation for American Art,"Recognizing the importance of experiencing original works of art, the foundation provides opportunities for interaction and study, beginning with the presentation and growth of its own art collection in Chicago. To further cross-cultural dialogue on American art, the foundation supports and collaborates on innovative exhibitions, research, and educational programs. Implicit in such activities is the belief that art has the potential both to distinguish cultures and to unite them.",193398025,www.terraamericanart.org,https://www.guidestar.org/profile/36-2999442
39-6037928,"Lynde and Harry Bradley Foundation, Inc.","Strengthen American democratic capitalism;  Support limited, competent government;  Support a dynamic marketplace for economic, intellectual, and cultural activity;  Defend, at home and abroad, American ideas and institutions;  Recognize that responsible self-government depends on enlightened citizens.",188476928,www.bradleyfdn.org,https://www.guidestar.org/profile/39-6037928
51-0066734,Longwood Foundation Inc,"To be thoughtful stewards of Pierre S. du Pont's legacy by being creative philanthropic leaders and providing support for Longwood Gardens.    “Philanthropic leadership” is:  1) continuously increasing the impact of our grant funds by:  a) selecting the requests with the greatest potential for impact through our grant review process.  b) creating opportunities to coordinate initiatives in a way that fits our mission and values (systemic investments).   2) being cognizant of and responsive to best practices in philanthropy.  3) being forthright about sharing the above. Longwood does not seek publicity, but is willing to share the reasoning behind our decisions with the interested parties.",175681549,NA,https://www.guidestar.org/profile/51-0066734
52-6036989,Morris and Gwendolyn Cafritz Foundation,"The Morris & Gwendolyn Cafritz Foundation is committed to building a stronger community for residents of the Washington, DC area through support of programs in arts and humanities, community services, education, and healthcare.",171649992,www.cafritzfoundation.org,https://www.guidestar.org/profile/52-6036989
39-1923558,KERN FAMILY FOUNDATION INC,"The Foundation enriches American lives by promoting the value of work, developing the formation of good character, increasing educational achievement – particularly in science, technology, engineering and math – and instilling an entrepreneurial mindset, especially in undergraduate engineering students.",166588611,www.kffdn.org,https://www.guidestar.org/profile/39-1923558
20-1173866,OMIDYAR NETWORK FUND INC,Omidyar Network creates opportunity for people to improve the quality of their lives.,163212224,http://www.omidyar.com,https://www.guidestar.org/profile/20-1173866
06-1695275,Craig H. Neilsen Foundation Inc,"The Craig H. Neilsen Foundation's mission is to improve the quality of life for those living with spinal cord injury and to support scientific exploration for effective therapies and treatments leading to a cure.    Our mission drives our approach to grantmaking efforts. Working in collaboration with leading researchers, clinicians and community advocates, the Neilsen Foundation funds spinal cord injury research, education and quality of life programs throughout the U.S. and Canada.    With this vision for the future, the Neilsen Foundation funds projects that are expected to:    -Lead to key discoveries through innovative and collaborative mechanistic, translational, preclinical and clinical research.  -Enhance standards for the delivery of care, particularly in the area of rehabilitation.  -Empower individuals with spinal cord injury to live independently in the community and enjoy improved emotional and physical     well-being.",163180516,www.chnfoundation.org,https://www.guidestar.org/profile/06-1695275
26-0316905,Peter G Peterson Foundation,"Our mission is to increase public awareness of the nature and urgency of key fiscal challenges threatening America's future and to accelerate action on them. To address these challenges successfully, we work to bring Americans together to find and implement sensible, long-term solutions that transcend age, party lines and ideological divides in order to achieve real results.",162896975,www.pgpf.org,https://www.guidestar.org/profile/26-0316905
04-6579815,Barr Foundation,"To invest in human, natural, and creative potential, serving as thoughtful stewards and catalysts.    Based in Boston, Barr focuses regionally, and selectively engages nationally, working in partnership with nonprofits, foundations, the public sector, and civic and business leaders to elevate the arts and creative expression, to advance solutions for climate change, and to connect all students to success in high school and beyond. With assets of $1.7 billion, Barr is among the largest private foundations in New England and has contributed more than $834 million to charitable causes since 1999.",160638309,https://www.barrfoundation.org,https://www.guidestar.org/profile/04-6579815
74-6385152,Albert & Bessie Mae Kronkosky Char Fndtn,"The mission of the Foundation is to produce profound good that is tangible and measurable in Bandera, Bexar, Comal and Kendall counties in Texas by implementing the Kronkosky's charitable purposes.",156030058,www.kronkosky.org,https://www.guidestar.org/profile/74-6385152
86-6247076,Virginia G Piper Charitable Trust 08-11-95,"Virginia G. Piper Charitable Trust is a private independent foundation honoring the philanthropic legacy of Virginia Galvin Piper(http://pipertrust.org/about-us/our-founder)  to enhance and strengthen the quality of life for the people in Maricopa County (Arizona) through support of:          Arts and Culture(http://www.pipertrust.org/our-grants/arts-culture)                  Children(http://www.pipertrust.org/our-grants/children/)                  Education(http://www.pipertrust.org/our-grants/education/)                  Healthcare and Medical Research(http://www.pipertrust.org/our-grants/healthcare-medical-research)                  Older Adults(http://www.pipertrust.org/our-grants/older-adults/)                  Religious Organizations(http://www.pipertrust.org/our-grants/religious-organizations)      By investing in nonprofits and encouraging strategic planning for the future, the Trust strives to make Maricopa County—a region that includes Phoenix and is home to nearly 4 million people—a stronger, healthier and more livable community.",155674170,http://www.pipertrust.org,https://www.guidestar.org/profile/86-6247076
94-3027928,The Lozier Foundation,"We provide operating and capital funds to human service organizations. We like agencies with annual operating budgets of at least $500k, prefer $1m or larger.  Our grants are generally linitied to the immediate Omaha area with a preference for the inner-city.    We do not accept unsolicited grants.",154844956,NA,https://www.guidestar.org/profile/94-3027928
94-3165171,TOSA FOUNDATION,****,152925849,NA,https://www.guidestar.org/profile/94-3165171
74-6047440,Nelda C. and H.J. Lutcher Stark Foundation,"The Nelda C. and H. J. Lutcher Stark Foundation is a private operating foundation established in 1961 to encourage and assist education and to improve and enrich the quality of life in Southeast Texas.         The Stark Foundation seeks to continue the legacy of its founders through the programs of: the Stark Museum of Art, the W.H. Stark House, the Frances Ann Lutcher Theater for the Performing Arts, and Shangri La Botanical Gardens and Nature Center, as well as the Miriam Lutcher Stark Contest in Reading and Declamation, a qualified scholarship program for public high school students in Orange County, Texas.         These venues, programs and activities provide the community and region with rich resources and opportunities for study and enjoyment of the arts, history and nature.",152740258,http://www.starkfoundation.org,https://www.guidestar.org/profile/74-6047440
36-6079185,Joyce Foundation,"The Joyce Foundation is a nonpartisan, private foundation that invests in public policies to improve quality of life, promote safe and healthy communities, and build a just society in the Great Lakes region. It works to achieve these goals by supporting policies to advance racial equity and economic mobility for the next generation in six states – Illinois, Indiana, Michigan, Minnesota, Ohio, and Wisconsin. It works in five program areas: Education & Economic Mobility, the Environment, Gun Violence Prevention & Justice Reform, Democracy, and Culture.",143816565,www.joycefdn.org,https://www.guidestar.org/profile/36-6079185
95-4292101,THE CALIFORNIA WELLNESS FOUNDATION,"To protect and improve the health and wellness of the people of California by increasing access to health care, quality education, good jobs, healthy environments and safe neighborhoods. This mission is pursued through the Advancing Wellness grants program, which is grounded in research related to the social determinants of health — where people live, and work, their race/ethnicity, and their income can impact their health and wellness.",141242690,http://www.calwellness.org/,https://www.guidestar.org/profile/95-4292101
31-1479839,Colcom Foundation,"The primary mission of Colcom Foundation is to foster a sustainable environment to ensure quality of life for all Americans by addressing major causes and consequences of overpopulation and its adverse effects on natural resources. Regionally, the Foundation supports conservation, environmental projects, and cultural assets.",139767767,colcomfdn.org,https://www.guidestar.org/profile/31-1479839
73-6097262,Masonic Charity Foundation of Oklahoma,"Dedicated to the tenets of Freemasonry, Brotherly Love, Relief and Truth, our leadership guides the course for our fraternal benevolence and provides stewardship for the legacy entrusted to us.     The Foundation's mission is to provide a network of programs supporting charitable and educational needs of Oklahomans from every walk of life while remaining firmly committed to Masonic tenets and our continuing legacy of leadership and stewardship.",138339597,http://www.mcfok.org/,https://www.guidestar.org/profile/73-6097262
06-1547852,Peter and Carmen Lucia Buck Foundation Inc,The PCLB Foundation was established in 1999 as a private family foundation with a commitment to enhancing and improving the quality of life in its communities through grants to qualified charitable organizations.,134284328,www.pclbfoundation.org,https://www.guidestar.org/profile/06-1547852
77-0560142,KAVLI FOUNDATION,"The Kavli Foundation is dedicated to advancing science for the benefit of humanity, promoting public understanding of scientific research, and supporting scientists and their work.     The Foundation's mission is implemented through an international program of research institutes, professorships, symposia and other initiatives in the fields of astrophysics, nanoscience, neuroscience and theoretical physics. The Foundation is also a founding partner of the Kavli Prizes, which recognize scientists for their seminal advances in astrophysics, nanoscience and neuroscience.",127683819,http://www.kavlifoundation.org/,https://www.guidestar.org/profile/77-0560142
20-7415160,PISCES FOUNDATION,"Our mission is to advance strategic solutions to natural resource challenges and prepare the next generation by supporting environmental learning. We collaborate, innovate, and work respectfully in our community.",124573375,http://piscesfoundation.org/,https://www.guidestar.org/profile/20-7415160
23-7000192,Bainum Family Foundation,"We operate and support educational programs and projects assisting underserved children and youth, from early childhood through post-secondary education.",123636348,https://bainumfdn.org/,https://www.guidestar.org/profile/23-7000192
13-3647019,F B HERON FOUNDATION,The Foundation was created in 1992 with the mission of helping people and communities to help themselves.,122521862,www.heron.org,https://www.guidestar.org/profile/13-3647019
41-0754835,MCKNIGHT FOUNDATION,"The McKnight Foundation, a Minnesota-based family foundation, seeks to improve the quality of life for present and future generations. Program interests include regional economic and community development, Minnesota’s arts and artists, education equity, youth engagement, Midwest climate and energy, Mississippi River water quality, neuroscience research, international crop research, and rural livelihoods.",122335659,www.mcknight.org,https://www.guidestar.org/profile/41-0754835
91-6340739,Rasmuson Foundation,"Rasmuson Foundation supports both non-profit organizations and individuals dedicated to improving the quality of life for people throughout Alaska. By assisting those who address basic needs, arts and culture, and projects that address special circumstances, Rasmuson Foundation contributes to healthy, enriched and productive lives for Alaskans of all ages.",117118409,www.rasmuson.org,https://www.guidestar.org/profile/91-6340739
23-1503488,William Penn Foundation,"Our mission is to help improve education for low-income children, ensure a sustainable environment, foster creative communities that enhance civic life and advance philanthropy in the Greater Philadelphia region.",117026835,http://www.williampennfoundation.org,https://www.guidestar.org/profile/23-1503488
75-6029882,THE PRIDDY FOUNDATION,"The Priddy Foundation is dedicated to the support of programs in human services, education, the arts, and health, which offer significant potential for individual development and community improvement.",116864605,NA,https://www.guidestar.org/profile/75-6029882
36-6068723,OTHO S A SPRAGUE MEMORIAL INSTITUTE,"""...the investigation of the cause of disease and the prevention and relief of human suffering in the City of Chicago, IL""",115466775,www.spragueinstitute.org,https://www.guidestar.org/profile/36-6068723
86-6021106,Lincoln Institute of Land Policy,"The Lincoln Institute of Land Policy is an independent, nonpartisan organization dedicated to helping solve global economic, social, and environmental challenges to improve quality of life. The Lincoln Institute uses creative approaches to the use, taxation, and stewardship of land.",108688255,http://www.lincolninst.edu/,https://www.guidestar.org/profile/86-6021106
38-3332791,Arcus Foundation,"The mission of the Arcus Foundation is to achieve social justice that is inclusive of sexual orientation, gender identity and race, and to ensure conservation and respect of the great apes.",105657982,http://www.arcusfoundation.org,https://www.guidestar.org/profile/38-3332791
13-1820170,HECKSCHER FOUNDATION FOR CHILDREN,"The primary aim of the Heckscher Foundation's grant making is to ""level the playing field"" for underserved youth by providing access to education and the varied experiences that make for a richer, forward-reaching life.  Our goal is to foster venture philanthropy using three principal funding strategies: catalytic giving, strategic partnerships and targeted problem solving.",105194519,www.heckscherfoundation.org,https://www.guidestar.org/profile/13-1820170
94-3137894,Wilburforce Foundation,"Wilburforce Foundation helps conserve important lands, waters and wildlife in Western North America by supporting organizations and leaders advancing strategic solutions.",104157824,www.wilburforce.org,https://www.guidestar.org/profile/94-3137894
13-6139556,Merrill Lynch & CO Foundation,Merrill Lynch Foundation is no longer active.,102369373,NA,https://www.guidestar.org/profile/13-6139556
77-0348912,Sobrato Family Foundation,"Our Mission: The Sobrato family is committed to Building a Strong & Vibrant Silicon Valley Community through Business and Philanthropic Leadership. As the primary grantmaking vehicle of the Sobrato Philanthropies, the Sobrato Family Foundation seeks to make Silicon Valley a place of opportunity for all its residents by promoting access to high-quality education, career pathways, and essential human services.",101093201,www.Sobrato.org,https://www.guidestar.org/profile/77-0348912
91-2062197,Marguerite Casey Foundation,"We imagine a just and equitable society for all, where all children are nurtured to become compassionate, responsible and self-reliant adults; where families are engaged in the life of their communities, the nation, and the world; and where people take responsibility for meeting today's needs as well as those of future generations.",100617420,www.caseygrants.org,https://www.guidestar.org/profile/91-2062197
95-3514017,WOOD-CLAEYSSENS FOUNDATION,The Wood-Claeyssens Foundation enhances the quality of life in the local community through grantmaking to qualified 501(c)(3) organizations serving the Santa Barbara and Ventura County areas.,96877855,www.woodclaeyssensfoundation.org,https://www.guidestar.org/profile/95-3514017
58-1714586,Huey and Angelina Wilson Foundation,"The Huey and Angelina Wilson Foundation exists for the enhancement of the lives of the people of Louisiana and in particular of the greater Baton Rouge area by supporting philanthropic initiatives and programs that improve the lives of its citizens in the areas of Human Services, Health Care, Education and Prison Release and which positively impact and strengthen those organizations and institutions that address the underlying causes of problems rather than treating symptoms.",95077844,hawilsonfoundation.org,https://www.guidestar.org/profile/58-1714586
73-1286874,Anne and Henry Zarrow Foundation,"Seeking to alleviate the symptoms of poverty, enrich health and wellness, and empower and inspire community members to improve their lives.",94073694,www.zarrow.com,https://www.guidestar.org/profile/73-1286874
26-4377643,Overdeck Family Foundation,Charitable Organization,93727112,NA,https://www.guidestar.org/profile/26-4377643
13-6015562,LOUIS CALDER FOUNDATION,Improvement of scholastic curricula to achieve optimum academic and intellectual development.,92872217,www.louiscalderfdn.org,https://www.guidestar.org/profile/13-6015562
31-6025114,Scripps Howard Foundation,"The Scripps Howard Foundation strives to advance the cause of a free press through support of excellence in journalism, quality journalism education and professional development. The Foundation helps build healthy communities and improve quality of life through support of sound educational programs, strong families, vital social services, enriching arts and culture, and inclusive civic affairs, with a special commitment to the communities in which The E.W. Scripps Company does business.",91884274,http://www.scripps.com/foundation,https://www.guidestar.org/profile/31-6025114
04-6856456,THE GRANTHAM FOUNDATION FOR THE PROTECTION OF THE ENVIRONMENT,To protect and improve the health of the global environment,89598396,www.granthamfoundation.org,https://www.guidestar.org/profile/04-6856456
72-0423887,Baptist Community Ministries,"In response to the love of God revealed in Jesus Christ and in keeping with our Baptist heritage, Baptist Community Ministries is committed to the development of a healthy community offering a wholesome quality of life to its residents and to improving the physical, mental and spiritual health of the individuals we serve.",85357223,http://www.bcm.org,https://www.guidestar.org/profile/72-0423887
58-1709417,Georgia Power Foundation Inc,The foundation is an independent legal entity providing grants to non-profit organizations primarily in the state of Georgia where we serve.,82757391,http://www.georgiapower.com/community/charitable_home.asp,https://www.guidestar.org/profile/58-1709417
23-1352175,HealthSpark Foundation,"HealthSpark Foundation identifies, selects and invests in programs and agencies that will improve the health, welfare and quality of life of the community of Montgomery County, Pennsylvania.",82719574,www.healthspark.org,https://www.guidestar.org/profile/23-1352175
41-6019050,Otto Bremer Trust,"The Otto Bremer Trusts invests in people, places and opportunities in the Upper Midwest.    Our mission is based on the intent of our founder, Otto Bremer. His vision and longstanding commitment to communities during and after the Great Depression endure today through our investments in the places that are home to Bremer banks. We strive to make measurable and meaningful impact for positive change in communities throughout Minnesota, North Dakota and western Wisconsin.    In the spirit of Otto Bremer's intentions, we are open to a variety of requests while giving highest priority to opportunities with the potential to move a community forward in meaningful, powerful and broad-based ways. We respect the remarkable resiliency and strength of Bremer communities and understand that each community has its own vision, its own ways of solving problems and building on opportunities. We are interested in supporting the communities' efforts to move toward their visions when those efforts are consistent with OBT's mission.",82372086,www.ottobremer.org,https://www.guidestar.org/profile/41-6019050
58-0566147,Callaway Foundation Inc,"OUR VISION:  Based on a history of Christian family values, we are a progressive, compassionate team primarily dedicated to enhancing the quality of life in LaGrange and Troup County, Georgia by making it a special place to live, work, learn, and play.    OUR MISSION:  To grow in a financially responsible manner in order to provide the resources necessary to actively pursue and respond to programs consistent with our vision.CORE VALUES:  Family, Faith in God, Compassion for others in need, Quality of life",80660579,www.callawayfoundation.org,https://www.guidestar.org/profile/58-0566147
84-1264186,GILL FOUNDATION,"Working to secure equal opportunity for all people, regardless of sexual orientation or gender expression.",80026465,www.gillfoundation.org,https://www.guidestar.org/profile/84-1264186
77-0278838,Arthur N. Rupe Foundation,"Dedicated to achieving positive social change by shining the light of truth on critical and controversial issues. It pursues this mission through the support of scholarly studies, education, research, and public debate, and by the dissemination of the results via a variety of media to the public.",79983197,www.rupefoundation.org,https://www.guidestar.org/profile/77-0278838
68-0204312,Making Waves Foundation Inc,"Making Waves Foundation's mission is to advance educational opportunities for college-bound, career-minded, historically underrepresented, and underserved youth.  We envision a society in which all youth—regardless of race, ethnicity, or socioeconomic status—have access to high-quality educational opportunities and the tools to achieve success.",78572800,www.making-waves.org,https://www.guidestar.org/profile/68-0204312
35-6070695,John W. Anderson Foundation,"The John W. Anderson Foundation was created in 1967 for the purpose of supporting such charitable, religious, scientific, literary or educational purposes within the United Staes as the Trustees, in their discretion, shall determine will best promote the mental, moral, intellectual and physical improvement, assistance and relief of inhabitants of the United States, of all races and creeds and particularly youth who reside in and near Lake and Porter Counties in Northwest Indiana.",73331234,NA,https://www.guidestar.org/profile/35-6070695
20-0097152,The Cameron Foundation,"Vision  Our service area is recognized for its quality of life, many opportunities for its residents to succeed, sustainable nonprofit sector, and its cultural and historic attractions.    Mission  The Cameron Foundation strives to transform the Tri-Cities and surrounding counties into a healthy, vibrant, and economically vital region by strategically leveraging resources for community impact.    In working towards this mission, the Foundation focuses on six outcome areas, including healthy residents, education excellence, cultural richness, a vital economy, vibrant communities, and dynamic nonprofits.",71249190,www.camfound.org,https://www.guidestar.org/profile/20-0097152
13-6073358,Eugene Higgins Charitable Trust,"To Support The Universities Of Columbia, Harvard, Princeton And Yale",68768264,NA,https://www.guidestar.org/profile/13-6073358
23-7241940,"Aetna Foundation, Inc.","A History of Commitment to Healthier Communities John H. Filer is widely recognized as the ""Father of Corporate Philanthropy."" He strongly believed that corporations have an obligation to their communities, and believed both giving and volunteering are vital to building and maintaining healthy communities. As Aetna's Chairman in 1972, Filer created the Aetna Foundation, the independent philanthropic arm of Aetna. In 1973, President Richard Nixon asked Filer to head the Commission on Private Philanthropy and Public Needs to study the role of philanthropy in the United States. The Commission became known as the ""Filer Commission."" Legacy of Caring While Filer made Aetna a national leader in corporate philanthropy, the company's legacy of giving and helping others actually began long before his tenure and the Aetna Foundation. Aetna's annual employee United Way/Combined Health Charities Appeal Campaign was initiated in 1931. In 1944, Aetna volunteers, after a tragic circus fire in Hartford, Connecticut, provided extra staffing to hospitals and first aid shelters. In 1959, Aetna President Harry Beers identified corporate responsibility and employee volunteerism as key business objectives, articulating a philosophy that had long been in practice. These activities set the stage for the culture of caring that continues today. Through the Aetna Foundation, Aetna has supported America's most compelling issues in its home state of Connecticut and nationally. The Aetna Foundation has strengthened disease prevention programs; helped revitalize neighborhoods; supported the arts, education and people in need; and listened to the voices of difference that shape our nation. Since 1980 Aetna and the Aetna Foundation have contributed over $334 million in grants and sponsorships.",68153472,www.aetna.com/foundation,https://www.guidestar.org/profile/23-7241940
35-2378788,RX OUTREACH,The Rx Outreach mission is to provide affordable medications for people in need.,66385021,www.rxoutreach.org,https://www.guidestar.org/profile/35-2378788
